ticker,name,sector,industry,mcap,exch
PAYC,Paycom Software Inc.,Industrials,Human Resource & Employment Services,6484896768.0,NYQ
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,2401180160.0,NGM
PAYX,Paychex Inc.,Industrials,Human Resource & Employment Services,38241222656.0,NMS
PBF,PBF Energy Inc. Class A,Energy,Oil & Gas Refining & Marketing,6291643904.0,NYQ
PBH,Prestige Consumer Healthcare In,Health Care,Pharmaceuticals,2316499200.0,NYQ
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics,2482641408.0,NYQ
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,65559478272.0,NMS
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,37812195328.0,NYQ
PCGH.L,Polar Capital Glb Healthcare Ord,,,603300930.0,LSE
PCRX,Pacira BioSciences Inc.,Health Care,Pharmaceuticals,1002585104.0,
PCT.L,Polar Capital Technology Ord,,,9623739017.0,LSE
PCTY,Paylocity Holding Corporation,Industrials,Human Resource & Employment Services,6344970752.0,NMS
PDD,PDD Holdings Inc. American Depositary Shares,Technology,EDP Services,121173737472.0,NMS
PDFS,PDF Solutions Inc.,Information Technology,Semiconductor Materials & Equipment,2324495872.0,NMS
PDLB,Ponce Financial Group Inc.,Finance,Savings Institutions,481339230.0,
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,Real Estate,Hotel & Resort REITs,2061052672.0,NYQ
PECO,"Phillips Edison & Company, Inc.",Real Estate,REIT - Retail,5807911424.0,NMS
PEG,Public Service Enterprise Group Incorporated,Utilities,Electric Utilities,40139792384.0,NYQ
PEGA,Pegasystems Inc.,Information Technology,Application Software,5220705280.0,NMS
PEN,Penumbra Inc.,Health Care,Health Care Equipment,12511326208.0,NYQ
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services,4014865408.0,NMS
PENN,PENN Entertainment Inc.,Consumer Discretionary,Casinos & Gaming,2727065088.0,NMS
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,187661090816.0,NMS
PETS.L,Pets at Home Group Plc,Consumer Cyclical,Specialty Retail,1173583412.0,LSE
PEY.L,Partners Group Private Equity Limited,Financial Services,Asset Management,562578217.0,LSE
PFBC,Preferred Bank,Financials,Regional Banks,1518078515.0,
PFD.L,Premier Foods plc,Consumer Defensive,Packaged Foods,2248182862.0,LSE
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,137755574272.0,NYQ
PFG,Principal Financial Group Inc,Financial Services,Asset Management,24243070976.0,NMS
PFGC,Performance Food Group Company,Consumer Staples,Food Distributors,17807706112.0,NYQ
PFS,Provident Financial Services Inc,Financials,Regional Banks,3066281216.0,NYQ
PG,Procter & Gamble Company (The),Consumer Staples,Personal Care Products,342397190144.0,NYQ
PGNY,Progyny Inc.,Health Care,Health Care Services,2400887040.0,NMS
PGR,Progressive Corporation (The),Financials,Property & Casualty Insurance,134325182464.0,NYQ
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,121203064832.0,NYQ
PHI.L,Pacific Horizon Ord,,,1134812638.0,LSE
PHIN,PHINIA Inc.,Consumer Discretionary,Automotive Retail,2892786432.0,NYQ
PHM,PulteGroup Inc.,Consumer Discretionary,Homebuilding,23763173376.0,NYQ
PHP.L,Primary Health Properties Plc,Real Estate,REIT - Healthcare Facilities,3249179901.0,LSE
PI,Impinj Inc.,Information Technology,Electronic Equipment & Instruments,4387036160.0,NMS
PIN.L,Pantheon International Ord,,,2062393730.0,LSE
PINS,Pinterest Inc. Class A,Communication Services,Interactive Home Entertainment,12614743040.0,NYQ
PINT.L,Pantheon Infrastructure Ord,,,738538857.0,LSE
PIPR,Piper Sandler Companies,Financials,Investment Banking & Brokerage,4872332800.0,NYQ
PJT,PJT Partners Inc. Class A,Financials,Investment Banking & Brokerage,6402038272.0,NYQ
PK,Park Hotels & Resorts Inc.,Real Estate,Hotel & Resort REITs,2853297408.0,NYQ
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,20383098880.0,NYQ
PKOH,Park-Ohio Holdings Corp.,Industrials,Industrial Specialties,521789645.0,
PLAB,Photronics Inc.,Information Technology,Semiconductor Materials & Equipment,1763014570.0,
PLD,Prologis Inc.,Real Estate,Industrial REITs,134403497984.0,NYQ
PLMR,Palomar Holdings Inc. Common stock,Financials,Property & Casualty Insurance,3606382080.0,NMS
PLNT,Planet Fitness Inc.,Consumer Discretionary,Leisure Facilities,4077797888.0,NYQ
